이름,만족도,역량향상도,업무활용도,총점,평균점수
오하윤,2,3,1,6,2.0
박영희,1,4,2,7,2.33
오수아,2,3,2,7,2.33
권서연,5,4,5,14,4.67
송하윤,4,2,5,11,3.67
이지민,2,3,1,6,2.0
신도윤,2,3,1,6,2.0
황지우,3,1,1,5,1.67
오민재,5,1,2,8,2.67
오민준,4,3,3,10,3.33
전서윤,2,3,1,6,2.0
권예준,5,3,2,10,3.33
김예준,2,4,4,10,3.33
박영희,3,3,4,10,3.33
최지우,5,4,5,14,4.67
장지훈,3,5,3,11,3.67
윤상철,5,4,3,12,4.0
한주원,3,3,4,10,3.33
김주원,3,5,3,11,3.67
정예준,4,2,1,7,2.33
권민준,3,1,2,6,2.0
전시우,4,1,4,9,3.0
송주원,3,3,5,11,3.67
서준우,3,3,5,11,3.67
오예준,5,5,1,11,3.67
신영희,4,2,4,10,3.33
조서윤,5,3,4,12,4.0
서도윤,4,1,1,6,2.0
정지우,2,2,3,7,2.33
홍영희,1,3,5,9,3.0
신서윤,2,1,2,5,1.67
홍민준,4,3,3,10,3.33
홍민재,5,5,4,14,4.67
임수아,5,2,3,10,3.33
박하윤,3,4,5,12,4.0
홍도윤,4,4,4,12,4.0
강지우,1,5,2,8,2.67
권민준,5,2,4,11,3.67
안민재,2,5,5,12,4.0
한서연,4,5,3,12,4.0
서상철,1,5,2,8,2.67
조상철,2,2,5,9,3.0
오도윤,5,5,3,13,4.33
신지훈,5,5,5,15,5.0
강도윤,2,1,4,7,2.33
최시우,5,2,5,12,4.0
강서윤,5,1,3,9,3.0
오서연,5,1,2,8,2.67
한지안,5,1,5,11,3.67
송서연,5,4,1,10,3.33
조주원,3,3,5,11,3.67
권은우,3,5,3,11,3.67
홍지민,2,5,4,11,3.67
정민재,2,5,2,9,3.0
홍서윤,3,1,4,8,2.67
신상철,1,3,4,8,2.67
조서연,5,4,1,10,3.33
조상철,3,4,2,9,3.0
장주원,1,1,5,7,2.33
안민준,3,3,3,9,3.0
윤지훈,4,5,5,14,4.67
임지안,2,3,1,6,2.0
오서연,2,1,4,7,2.33
전지우,1,3,2,6,2.0
한민수,2,3,1,6,2.0
이지민,2,3,5,10,3.33
강지우,3,1,4,8,2.67
신서연,5,2,2,9,3.0
조은우,2,1,5,8,2.67
조수아,5,4,2,11,3.67
김서윤,3,1,3,7,2.33
이시우,5,1,1,7,2.33
최시우,2,4,3,9,3.0
한예준,1,4,2,7,2.33
정지훈,5,5,1,11,3.67
조지민,1,1,2,4,1.33
장지우,4,3,3,10,3.33
전윤서,2,3,1,6,2.0
전수아,1,2,2,5,1.67
장시우,4,5,3,12,4.0
조수아,3,2,5,10,3.33
정지민,2,5,1,8,2.67
오윤서,3,5,1,9,3.0
임민준,2,5,4,11,3.67
황주원,2,2,5,9,3.0
임민수,2,2,4,8,2.67
이준우,5,3,4,12,4.0
강민재,5,2,4,11,3.67
장시우,1,3,2,6,2.0
최영희,4,5,1,10,3.33
장상철,1,4,5,10,3.33
황하윤,2,4,5,11,3.67
박지훈,5,1,1,7,2.33
황지훈,4,4,4,12,4.0
윤민준,5,4,1,10,3.33
오준우,2,3,4,9,3.0
윤지훈,5,5,4,14,4.67
오서윤,1,2,2,5,1.67
강서연,2,4,5,11,3.67
신주원,3,3,5,11,3.67
